RANK,CITY,POPULATION,POPULATION GROWTH 2008 TO 2013,UNEMPLOYMENT RATE (%),AVERAGE HOUSEHOLD INCOME,AVERAGE HOUSEHOLD NET WORTH,AVERAGE HOUSE PRICES,AVERAGE YEARS TO BUY A HOME,AVERAGE PROPERTY TAX,SALES TAX,INCOME TAX ($),NEW CARS,WALK TO WORK (%),BIKE TO WORK (%),TAKE PUBLIC TRANSIT TO WORK (%),TOTAL RAINFALL (mm),DAYS PER YEAR WITH PRECIPITATION,DAYS PER YEAR WITH RAIN,DAYS ABOVE 0C,DAYS ABOVE 20C,DAYS BELOW MINUS 20C,MEAN DAILY TEMP.,DAYS ABOVE 24C,FIVE-YEAR CHANGE IN CRIME RATE,"CRIME RATE PER 100,000",CRIME SEVERITY INDEX,VIOLENT CRIME SEVERITY INDEX,NUMBER OF MEDICAL OFFICES PER '000,DOCTORS PER '000
11,"Kingston, Ont.",169.645,6.30%,8.1,"$83,515.16","$369,279.00","$318,189.00",3.81,"$1,865.00",13.00%,8694,16.79%,9.01,2.17,3.83,808.71,159.06,123.38,222.5,99.09,10.67,6.87,7.24,-9.30%,6134.77,63.74,60.16,1.23,4.36
12,"Lévis, Que.",143.934,7.00%,4,"$75,659.17","$248,740.00","$232,092.00",3.07,"$1,860.00",14.98%,11302,22.17%,4.03,0.77,4.2,899.3,174.93,118.16,194.5,94.07,31.14,4.22,3.53,-14.99%,3271.31,38.2,36.25,0.56,3.35
13,"Saskatoon, Sask.",278.389,10.90%,5.5,"$89,768.06","$377,703.00","$355,092.00",3.96,"$1,908.00",10.00%,10195,13.81%,5.69,2.13,3.55,263.83,108.7,65.48,170.4,103.88,38.8,3.25,9.75,-23.43%,10016.53,117.43,141.44,1.79,3.02
14,"Saanich, B.C.",114.323,1.30%,5.7,"$86,710.20","$692,672.00","$577,652.00",6.66,"$1,903.00",12.00%,8611,10.90%,5.54,5.1,11.08,886.27,158.51,156.12,334,70.54,0,10.31,0.19,-21.49%,4662.79,44.18,31.44,0.74,2.98
15,"Gatineau, Que.",278.252,10.50%,5.7,"$82,203.49","$207,079.00","$250,721.00",3.05,"$1,996.00",13.00%,8694,21.44%,4.47,1.72,15.81,755.45,160.65,118.34,215.6,116.53,16.84,6.64,17.48,-12.79%,5645.79,69.14,74.73,0.45,2.45
16,"Moncton, N.B.",145.873,9.60%,7.3,"$73,386.54","$192,515.00","$160,158.00",2.18,"$1,614.00",13.00%,11036,24.01%,6.69,0.95,2.67,841.97,160.77,122.8,198.3,99.12,13.98,6.08,3.86,-30.94%,5115.6,67.16,83.41,2.02,3.28
17,"Lacombe, Alta.",12.51,10.00%,6.9,"$91,951.99","$430,669.00","$262,575.00",2.86,"$1,911.00",5.00%,9474,14.74%,8.3,1.04,-,366.45,108.03,75.71,156.3,81.02,28.17,3,0,-29.61%,7169.9,67.65,59.76,1.76,2.3
18,"Rimouski, Que.",53,6.80%,6.5,"$65,898.06","$195,631.00","$177,041.00",2.69,"$1,496.00",14.98%,11302,20.86%,10.16,1.15,0.66,686.51,166.74,115.55,196.9,72.3,13.88,4.37,2.51,-4.63%,4868.64,53.83,57.38,1.45,3.91
19,"Winnipeg, Man.",769.351,5.00%,5.7,"$80,375.63","$331,003.00","$289,116.00",3.6,"$1,711.00",13.00%,11036,16.97%,5.43,1.47,12.37,418.91,125.34,78.28,172.1,109.65,51.98,2.99,11.11,-24.05%,6823.51,102.3,161.88,0.84,2.72
20,"Repentigny, Que.",85.425,7.10%,5.4,"$84,146.76","$275,601.00","$245,175.00",2.91,"$2,114.00",14.98%,11302,23.04%,2.73,0.74,5.68,800.6,160.48,121.12,201.3,108.19,28.72,5.44,9.58,-5.36%,4015.35,44.33,32.02,0.8,2.34
